2.123	Keep right to stay on Fellsway West
3.344	Take the 2nd exit at Middlesex Rotary onto Woodland Road
1.649	Turn right onto Pond Street
2.032	Turn left onto Lynn Fells Parkway
2.937	Take the exit toward US 1 North: Lynnfield
1.247	Merge onto Broadway
1.811	Continue onto Newbury Street
2.217	Continue onto Newburyport Turnpike
3.692	Take the exit toward MA 114 East: Peabody
1.606	Merge onto Andover Street
1.730	Turn left onto Garden Street
1.637	Turn left onto Prince Street
1.881	Turn right to stay on Prince Street
1.753	Turn right onto Centre Street
1.832	Keep left onto Holten Street
1.589	Keep left onto Elm Street
1.788	Continue onto Conant Street
1.695	Turn left onto Dodge Street
1.660	Turn right onto Northwood Road
1.625	Turn left onto Richards Road
